sample_id,patient_id,cancer_type,TP53,VEGFA,HIF1A,ANGPT2,FLT1
TCGA-60-2720-01A-01R-0851-07,TCGA-60-2720,LUSC,5.842196656875272,6.88676606621018,4.588211044627329,2.9246530050505064,2.486939038597259
TCGA-77-8156-01A-11R-2247-07,TCGA-77-8156,LUSC,6.652224647784448,7.914090662220736,6.773732156816241,2.7939091074927944,3.707160720588692
TCGA-77-8133-01A-12R-2247-07,TCGA-77-8133,LUSC,6.358737134567366,6.702042873698898,5.984845456449996,2.254687603446863,2.7634600321699243
TCGA-43-6647-01A-11R-1820-07,TCGA-43-6647,LUSC,6.227123191966939,7.385022385824175,8.176064067270653,3.535953795836699,4.003327790057545
TCGA-85-A53L-01A-21R-A26W-07,TCGA-85-A53L,LUSC,4.348163005106069,8.30962326711702,5.463705190672402,2.192271257724823,3.71200035948494
TCGA-43-6773-01A-41R-1949-07,TCGA-43-6773,LUSC,6.338943328482974,4.954779147417469,6.38367005937733,1.9928297667128452,3.202718602232334
TCGA-60-2712-01A-01R-0851-07,TCGA-60-2712,LUSC,5.242233651326857,8.136758504525734,7.4201018423299745,2.8625513519796857,3.6664707105683343
TCGA-60-2710-01A-01R-0851-07,TCGA-60-2710,LUSC,6.7157630848019005,7.002906576659126,7.808799096292904,3.079548516481506,3.6784772268867023
TCGA-98-8020-01A-11R-2247-07,TCGA-98-8020,LUSC,6.481636136490496,6.590237251278375,7.561824340906686,2.9681992626819103,3.511099547681472
TCGA-37-4130-01A-01R-1100-07,TCGA-37-4130,LUSC,4.771122183573557,6.420347746096789,4.309131581168273,2.063905052478938,2.016339962518475
TCGA-39-5016-01A-01R-1443-07,TCGA-39-5016,LUSC,6.600137439988783,4.872503218935863,6.34454205946132,1.2757857709951026,2.0712284367112117
TCGA-60-2709-01A-21R-1820-07,TCGA-60-2709,LUSC,6.083039244727623,6.133887110613119,6.689373929089078,1.904952254715531,3.0031655568696514
TCGA-21-A5DI-01A-31R-A26W-07,TCGA-21-A5DI,LUSC,5.157929774417554,9.565265575978367,7.123506606268571,1.9802668074447856,1.27249251370122
TCGA-22-4607-01A-01R-1201-07,TCGA-22-4607,LUSC,6.127283012435414,6.864538259228304,6.572735843855814,2.902489998765438,2.8734063596934267
TCGA-56-A62T-01A-11R-A405-07,TCGA-56-A62T,LUSC,3.6582689780565767,5.765062509815824,8.318930506933997,2.512045654889252,2.651437658687819
TCGA-85-8287-01A-11R-2296-07,TCGA-85-8287,LUSC,6.779882933271997,7.133505800550626,6.847359982741224,3.2760298909412526,4.157253803505079
TCGA-77-6844-01A-11R-1949-07,TCGA-77-6844,LUSC,4.022647941655336,7.206778364887834,6.893108199098093,2.280482385852375,2.8050933654031684
TCGA-63-A5MU-01A-11R-A26W-07,TCGA-63-A5MU,LUSC,5.91507679544623,7.561319534328507,7.099357280027587,2.4848423685014085,2.425476968851657
TCGA-85-A511-01A-21R-A262-07,TCGA-85-A511,LUSC,6.748565318922611,7.640273683710913,6.794715160422049,2.8017051510418014,3.262045332671174
TCGA-58-A46N-01A-11R-A24H-07,TCGA-58-A46N,LUSC,2.756983714378273,7.481464862586765,7.889005932174581,2.6240871875665515,2.698623210741013
TCGA-66-2737-01A-01R-0980-07,TCGA-66-2737,LUSC,6.827907353341069,6.844941338314802,6.663691465115446,2.7522218888874135,3.198689079838303
TCGA-33-4587-01A-11R-2125-07,TCGA-33-4587,LUSC,8.324424914523625,8.511653655195857,7.246746902829495,3.1115014313314435,3.8272247157677177
TCGA-34-5928-01A-11R-1820-07,TCGA-34-5928,LUSC,7.088556310521788,7.071690546708094,7.528574863740547,3.550103761492697,4.499584902274544
TCGA-66-2777-01A-01R-1201-07,TCGA-66-2777,LUSC,6.104645553125198,6.004108843217722,6.887384734598836,1.6533923682486145,3.046313277923592
TCGA-37-A5EM-01A-21R-A27Q-07,TCGA-37-A5EM,LUSC,6.185850133301497,7.714844849181892,6.282797754157361,3.012307000273807,4.0346003035955675
TCGA-77-A5GB-01B-11R-A27Q-07,TCGA-77-A5GB,LUSC,5.1632736187065875,7.605264021675318,7.354143517618451,2.071506091369441,2.939149370750458
TCGA-43-A56V-01A-11R-A26W-07,TCGA-43-A56V,LUSC,5.55246919532365,6.9446017602751295,7.1371090248265485,2.1510011711699235,3.31520077791632
TCGA-85-A510-01A-11R-A26W-07,TCGA-85-A510,LUSC,6.3074695155274245,7.175146219954591,5.44864706004884,1.8935578567935916,2.6744952881619795
TCGA-46-3765-01A-01R-0980-07,TCGA-46-3765,LUSC,5.33211136665069,6.785784076981102,7.187433083086421,3.700592074281244,3.5121966536129934
TCGA-85-7698-01A-11R-2125-07,TCGA-85-7698,LUSC,6.971097018342165,6.508807405046709,6.98766735945738,3.1148273681296907,3.6503810242059065
TCGA-66-2791-01A-01R-0980-07,TCGA-66-2791,LUSC,6.388640460662833,6.2801728045442395,6.900141882852774,2.1118117068815216,3.090323894383967
TCGA-77-A5G1-01A-11R-A27Q-07,TCGA-77-A5G1,LUSC,5.612681622794771,5.928067376149388,6.946537276696302,1.8931968418641216,2.8234139451059024
TCGA-66-2771-01A-01R-0980-07,TCGA-66-2771,LUSC,3.6885416754225706,5.195643811628013,6.041969056156523,0.9737544236976888,1.770459659457999
TCGA-22-5489-01A-01R-1635-07,TCGA-22-5489,LUSC,4.784044572755141,6.083852644046569,6.844381732035621,3.752185381570872,3.62319662057772
TCGA-66-2785-01A-01R-0851-07,TCGA-66-2785,LUSC,4.022423500704791,7.211927524203233,6.170234385876478,1.827531339808227,2.590463934720032
TCGA-43-8118-01A-11R-2403-07,TCGA-43-8118,LUSC,5.754048327030554,6.307279331676033,7.623028403520083,2.505048801903154,3.7153313846378255
TCGA-77-7140-01A-41R-2045-07,TCGA-77-7140,LUSC,7.105276662311888,5.966811213094615,7.670409376841719,3.1131954712778547,3.2548944955817443
TCGA-56-A5DS-01A-11R-A27Q-07,TCGA-56-A5DS,LUSC,5.527841626778495,7.278366574221629,6.4069365075237465,2.57553483219077,3.5267486104738204
TCGA-O2-A52W-01A-11R-A26W-07,TCGA-O2-A52W,LUSC,6.6883977930414735,8.982310033478427,7.34625683253163,1.6438012296843234,2.7832362830101585
TCGA-XC-AA0X-01A-32R-A405-07,TCGA-XC-AA0X,LUSC,5.725991598997809,7.730238958767088,7.38974253672822,2.5958914777448783,3.712126083217456
TCGA-18-3421-01A-01R-0980-07,TCGA-18-3421,LUSC,5.751112646498211,5.942457029437095,6.85516536533883,3.1790419799260228,1.7772823134959053
TCGA-68-7757-01B-11R-2296-07,TCGA-68-7757,LUSC,6.404098872272405,6.714906039413045,7.454391257200229,2.2124698634904805,2.786024740980086
TCGA-NK-A5CR-01A-11R-A26W-07,TCGA-NK-A5CR,LUSC,5.870993485690269,7.901875688037487,6.595330379896381,2.3872284964774084,2.484612780717024
TCGA-39-5037-01A-01R-1443-07,TCGA-39-5037,LUSC,6.18724554642403,6.64626668429005,5.2447164895727525,1.2806345588316743,0.9983596347890212
TCGA-66-2727-01A-01R-0980-07,TCGA-66-2727,LUSC,6.245191003103657,5.165080671544142,4.520207738999277,1.090865180958338,1.7894488888551563
TCGA-56-8629-01A-11R-2403-07,TCGA-56-8629,LUSC,5.969084964273164,6.421228083141204,7.558744186465857,2.6719288842881124,2.97169710240118
TCGA-60-2719-01A-01R-0851-07,TCGA-60-2719,LUSC,7.270359255076429,6.901817466440417,6.61795853700045,3.707315775779353,3.610800192079009
TCGA-22-4595-01A-01R-1201-07,TCGA-22-4595,LUSC,5.6882481477026055,5.649190530157791,6.811845297628338,3.1050406340141783,3.5066442961760296
TCGA-43-6771-01A-11R-1820-07,TCGA-43-6771,LUSC,5.8956910417814115,6.743582834678442,8.360309443139,2.9432764748357,3.213990463571263
TCGA-60-2696-01A-01R-0851-07,TCGA-60-2696,LUSC,6.234418094349291,8.007536972209072,8.381572128954705,3.846401541381182,3.554019327033416
TCGA-56-8305-01A-11R-2296-07,TCGA-56-8305,LUSC,6.766786193352318,7.56631726577986,7.067807490079619,2.5586216168468052,3.1725857881555997
TCGA-66-2767-01A-01R-0851-07,TCGA-66-2767,LUSC,6.181483701266681,6.234428147923024,6.489098598133963,2.9736905510406975,2.520358719289089
TCGA-66-2765-01A-01R-0851-07,TCGA-66-2765,LUSC,4.152651456362834,7.160406422463855,7.991326218317638,3.292669176899935,3.183354045788123
TCGA-L3-A4E7-01A-11R-A24Z-07,TCGA-L3-A4E7,LUSC,5.96176203614595,8.734450457926503,6.8926806642210865,2.94617331810106,3.609622014667368
TCGA-56-8624-01A-11R-2403-07,TCGA-56-8624,LUSC,4.908702097328495,5.7992823817359715,7.443695787834122,1.336663711609706,2.5852290218883764
TCGA-18-3410-01A-01R-0980-07,TCGA-18-3410,LUSC,7.726280346020373,6.174266258424507,6.264494961924187,2.5638167880716525,2.688908334442806
TCGA-85-8288-01A-11R-2296-07,TCGA-85-8288,LUSC,4.457582292643299,7.929481906925811,6.983012802981013,5.446983221539772,4.116105265454663
TCGA-18-3417-01A-01R-1443-07,TCGA-18-3417,LUSC,4.172414667358301,7.20616698404723,6.810798435150415,3.402664525862165,3.2667689378622646
TCGA-77-7142-01A-11R-2045-07,TCGA-77-7142,LUSC,7.175494139491455,6.2548980166862025,7.035026162217421,2.867817129689561,3.8388266883686546
TCGA-98-8021-01A-11R-2247-07,TCGA-98-8021,LUSC,4.236556385368995,7.308962248097009,5.966770054510391,2.235854999175017,3.3312823964133336
TCGA-33-AASL-01A-11R-A405-07,TCGA-33-AASL,LUSC,5.577537454779301,6.59805245637989,6.186062613840063,2.1174586444620696,2.1121488105828523
TCGA-52-7812-01A-11R-2125-07,TCGA-52-7812,LUSC,6.6002286709306075,7.065407717539292,6.836834695634789,2.163947566736826,2.86081297782506
TCGA-33-6738-01A-11R-1949-07,TCGA-33-6738,LUSC,3.168465240873958,4.9835918499522265,6.297920565403393,1.2177768802363604,2.479385304195292
TCGA-O2-A52Q-01A-11R-A26W-07,TCGA-O2-A52Q,LUSC,5.596454730199371,8.392463198366311,7.242592084963043,2.1525848175684557,3.5245013276610724
TCGA-56-7582-01A-11R-2045-07,TCGA-56-7582,LUSC,4.225916755839192,7.630272311400811,6.7323598128381406,3.5503522731212707,4.207713182687964
TCGA-85-8352-01A-31R-2326-07,TCGA-85-8352,LUSC,3.1119758746517268,6.682761072644331,5.188665241295714,1.9538283260720968,2.4623530289561035
TCGA-39-5040-01A-21R-2125-07,TCGA-39-5040,LUSC,4.464638973794795,6.049488126905021,6.308277448521604,2.0542031051916654,3.409089340189506
TCGA-94-7033-01A-11R-1949-07,TCGA-94-7033,LUSC,6.224443253180204,8.221551079324042,6.1848484374431445,1.291435290079181,1.4089894174541904
